user_id,auth_date
258512,2018-05-02
1045004,2020-09-01
74949,2017-03-16
536006,2019-10-02
475992,2020-02-03
256071,2019-05-24
63048,2017-04-14
293640,2018-10-12
503507,2020-01-01
215862,2018-11-19
853018,2020-04-17
116280,2018-10-06
593820,2019-09-23
73036,2016-04-04
35846,2015-07-05
83266,2018-01-28
864507,2020-06-09
13236,2015-02-14
515184,2020-06-28
2953,2017-06-04
253065,2018-09-14
467436,2020-07-28
120890,2020-01-24
149846,2018-10-23
74079,2020-04-08
611363,2020-08-14
734560,2020-03-27
72283,2017-07-28
175113,2017-10-08
144400,2017-08-20
1028761,2020-09-04
26157,2017-12-19
5127,2014-07-16
363470,2019-11-16
156922,2018-04-27
145940,2019-05-12
79652,2020-01-06
256187,2019-01-03
102923,2020-03-17
427633,2019-10-03
19881,2017-01-19
136322,2020-02-24
78017,2016-04-22
457794,2019-05-01
45906,2016-12-15
56135,2015-10-20
127603,2020-02-10
962514,2020-07-02
986245,2020-07-25
16451,2015-04-16
232774,2018-02-17
70172,2018-06-21
59609,2018-03-10
459158,2019-05-17
152313,2017-06-03
381117,2019-11-15
84713,2018-12-26
596858,2020-02-14
9863,2015-11-16
216587,2018-02-01
468588,2019-04-18
99736,2019-02-07
967415,2020-09-01
16495,2015-09-12
188080,2020-01-17
4499,2015-04-28
247416,2018-04-02
97766,2016-09-20
773952,2020-07-24
123681,2019-02-09
56221,2017-11-29
112632,2016-12-01
706998,2019-12-29
5406,2011-11-14
582650,2020-04-20
253579,2019-11-15
903207,2020-09-16
48145,2018-08-09
2301,2014-05-17
497224,2020-02-06
612394,2019-11-21
198393,2017-11-29
804758,2020-09-01
108507,2018-09-09
535117,2019-07-22
163483,2020-07-20
178958,2018-01-23
561619,2019-08-06
272278,2020-08-13
552005,2020-06-17
562767,2020-07-13
1005151,2020-08-09
205808,2019-05-16
105319,2018-12-22
607528,2020-06-14
17926,2014-05-28
770146,2020-02-14
25206,2016-01-30
22136,2019-01-17
740516,2020-06-20
222321,2019-02-20
700810,2020-01-10
742850,2020-01-23
392945,2019-01-24
83918,2018-06-03
229059,2020-05-15
577599,2019-09-27
335152,2020-09-18
269144,2018-12-22
7247,2019-09-30
161836,2018-06-29
863668,2020-08-17
637177,2020-07-14
199547,2019-09-23
36050,2020-01-30
36667,2018-11-15
8205,2020-06-24
436803,2019-11-05
749515,2020-01-28
95824,2017-09-14
743814,2020-03-11
17565,2014-01-11
505393,2020-05-07
614607,2020-06-25
340116,2018-10-04
406712,2019-08-10
585299,2020-09-06
687075,2019-12-06
277398,2020-08-14
321011,2019-12-12
661597,2019-11-13
959088,2020-06-26
430594,2019-03-26
327437,2019-06-17
8110,2018-05-22
806932,2020-03-28
54530,2019-08-04
18950,2020-09-21
691471,2019-12-23
213109,2020-07-03
408225,2020-03-22
175122,2020-07-21
31265,2016-08-07
197157,2018-12-30
105327,2018-01-14
764256,2020-02-25
891013,2020-05-26
159736,2020-05-29
363578,2019-12-29
107897,2020-03-03
255059,2018-04-27
654054,2019-11-21
92019,2016-07-31
19842,2019-12-19
57876,2018-09-24
788102,2020-03-13
884499,2020-05-08
161101,2017-07-07
363176,2018-12-01
670769,2020-03-28
337053,2019-10-28
69372,2018-12-13
122799,2020-08-25
164870,2018-09-05
952115,2020-09-07
145050,2017-07-22
430245,2019-03-31
535536,2019-12-02
227305,2020-03-27
333260,2018-09-22
366583,2020-06-12
194550,2018-01-21
39692,2019-11-06
157298,2017-10-24
599551,2019-09-20
899105,2020-05-18
150195,2017-11-30
260305,2020-07-29
381004,2019-01-01
220941,2018-06-21
406277,2019-01-21
230328,2019-09-16
803430,2020-04-21
742895,2020-02-06
454829,2019-09-26
568306,2020-04-13
191101,2020-05-28
202928,2017-11-24
485594,2020-02-20
10645,2018-05-12
904044,2020-05-21
689391,2020-02-10
1033491,2020-08-20
57285,2017-04-25
452488,2019-03-27
919950,2020-08-06
452196,2019-03-27
137214,2018-03-06
163134,2017-07-15
161836,2019-09-10
162739,2020-04-27
145722,2019-11-23
349259,2020-07-31
136440,2018-02-07
445717,2020-01-10
793940,2020-07-02
604633,2019-09-23
212792,2019-01-05
146945,2019-09-12
136840,2019-10-29
128035,2017-02-18
913257,2020-05-27
4584,2017-01-30
175444,2019-03-10
42593,2017-06-29
285846,2018-06-27
129861,2017-04-03
224926,2019-06-04
5935,2017-03-19
541311,2019-12-01
175254,2020-04-22
75583,2019-07-02
776716,2020-05-30
146284,2020-08-31
37963,2020-09-18
79572,2019-06-26
380108,2019-08-06
35218,2020-04-05
404191,2020-07-08
783015,2020-07-15
970413,2020-07-16
158009,2018-04-05
846281,2020-05-08
371015,2020-01-14
396283,2019-10-01
264481,2019-06-26
103296,2019-08-03
613973,2020-07-05
39299,2019-04-07
471254,2019-04-26
184020,2019-02-06
